Purchase Number,Supplier,Purchase Note,Warehouse,Rack,SKU,Quantity,Price,Note
523425123,1,,1,3,BMW-330i-1922-BC-F,6,150,
523425123,1,,1,3,BMW-330i-1922-F-FL,4,150,
523425123,1,,1,3,BMW-330i-1922-F-FR,3,150,
523425123,1,,1,3,BMW-330i-1922-BC-B,7,200,Expensive Item
523425123,1,,1,3,BMW-X5-1923-F-FL,3,180,
523425123,1,,1,1,BMW-X5-1923-F-FR,7,180,
523425123,1,,1,1,BMW-X3-1822-DMT-FL,4,75,
523425123,1,,1,1,BMW-X3-1822-DMT-FR,2,75,
523425123,1,,1,1,BMW-X3-1824-FL-FL,7,50,
623452234,1,,2,4,BMW-X3-1824-FL-FL,6,50,
623452234,1,,2,4,BMW-X3-1824-FL-FR,3,55,
623452234,1,,2,4,BMW-X3-1822-DMT-RL,6,35,
623452234,1,,2,4,BMW-X3-1822-DMT-RR,3,35,
623452234,1,,2,4,BMW-X3-1824-FL-RL,7,50,
623452234,1,,2,4,BMW-X3-1824-FL-RR,4,50,
